truck,ID,GroupCount,mean_engine_power,mean_fuel_rate,mean_v,mean_mass_eff,mean_ego_m,mean_engine_rpm,mean_drag_reduction_ratio,mean_P_AD,mean_E_AD,mean_E_AD_true,mean_P_AD_true,std_v,mean_NPC,mean_NFC
L,9316,1673,135132.655885451,0.00928696169993664,22.1180562504483,29401.6266592214,29000,1639.49979267949,1,22635.8488734108,2.77158324907581,2.3314405102007,19041.1509608626,0.258202245224374,1.16044555294152,1.17356831813564
L,9317,1596,147437.480901911,0.0101732057591492,23.2006115789474,29401.6266592214,29000,1719.88385713453,1,23357.3581490255,2.85992643574091,2.42096972796513,19772.3466930298,0.296006278626144,1.15047882767869,1.16965227987618
L,9318,1528,160489.339804555,0.0105117378373253,24.2395497028796,29355.2744616189,29000,1222.48424573284,1,24489.964693132,3.00334009857572,2.53808976660998,20696.2004741838,0.388056108781546,1.14624050414982,1.15515018583466
L,9319,1462,173671.019870219,0.0114060489634906,25.3229607913817,29355.2744616188,29000,1277.2354490453,1,25403.6001101299,3.11538427331144,2.54172440301606,20725.838182314,0.409975186391011,1.13585160063569,1.14611821328762
L,9320,1403,185798.854815001,0.0122234272556125,26.3908474468995,29355.2744616188,29000,1331.21168651864,1,25658.0369419886,3.14658727214182,2.36039183990024,19247.208415899,0.444908108229311,1.1178625010713,1.12661637586819
L,9321,1348,198664.163051476,0.0130677930676977,27.4524407603858,29355.2744616188,29000,1384.87772619266,1,21701.914639747,2.661426068601,2.22418048001698,18136.5079008537,0.482816893694635,1.10313301500816,1.10653563619575
L,9322,1298,212106.029842327,0.0139518006774511,28.5126660924499,29355.2744616187,29000,1438.47782807799,1,19817.748843857,2.43036037462929,2.02516201331618,16513.6629805946,0.531856011462195,1.08682173478708,1.08609827644751
L,9323,1252,225044.348968061,0.0148218613716813,29.5717091022364,29355.2744616187,29000,1492.02137518939,1,19715.2764977071,2.41779362289879,1.62070835340955,13215.6495934932,0.577666161655178,1.06116163667747,1.06110847702816
L,9324,1208,241138.352601093,0.0159535161424572,30.645306321192,29355.2744616187,29000,1546.32208323398,1,15350.8174345086,1.88255581927826,1.32472530265627,10802.1319015904,0.601592605541707,1.0369689013714,1.04916440678119
L,9325,1171,260189.93841152,0.0172547923151401,31.6341415695986,29355.2744616187,29000,1596.44650986523,1,14444.9921462455,1.77146944391459,1.23330657271726,10056.6813715093,0.632831614568775,1.04319083743695,1.0493136679344
